DO,RTD,EC,PH,ORP
DO: 0.00,RTD: 25.30,EC: 6658.00,PH: 6.95,ORP: -217.00
DO: 3.35,RTD: 25.30,EC: 6662.00,PH: 6.95,ORP: -217.00
DO: 3.35,RTD: 25.30,EC: 6661.00,PH: 6.95,ORP: -217.00
DO: 3.35,RTD: 25.29,EC: 6665.00,PH: 6.95,ORP: -216.30
DO: 3.35,RTD: 25.30,EC: 6656.00,PH: 6.95,ORP: -213.20
DO: 3.35,RTD: 25.32,EC: 6661.00,PH: 6.94,ORP: -214.30
DO: 3.35,RTD: 25.35,EC: 6657.00,PH: 6.94,ORP: -214.70
DO: 3.35,RTD: 25.50,EC: 6653.00,PH: 6.94,ORP: -214.80
DO: 3.59,RTD: 25.51,EC: 6654.00,PH: 6.95,ORP: -215.00
DO: 3.35,RTD: 25.53,EC: 6654.00,PH: 6.95,ORP: -215.20
DO: 3.35,RTD: 25.55,EC: 6654.00,PH: 6.95,ORP: -215.30
DO: 3.59,RTD: 25.58,EC: 6653.00,PH: 6.95,ORP: -215.30
DO: 3.83,RTD: 25.60,EC: 6652.00,PH: 6.95,ORP: -215.50
DO: 3.35,RTD: 25.61,EC: 6648.00,PH: 6.95,ORP: -215.50
DO: 3.59,RTD: 25.62,EC: 6633.00,PH: 6.95,ORP: -215.50
DO: 3.59,RTD: 25.63,EC: 6653.00,PH: 6.95,ORP: -215.60
DO: 3.59,RTD: 25.65,EC: 6642.00,PH: 6.95,ORP: -215.50
DO: 3.59,RTD: 25.65,EC: 6640.00,PH: 6.94,ORP: -215.50
DO: 3.59,RTD: 25.66,EC: 6645.00,PH: 6.94,ORP: -215.60
DO: 3.59,RTD: 25.67,EC: 6643.00,PH: 6.94,ORP: -215.80
DO: 3.35,RTD: 25.68,EC: 6644.00,PH: 6.94,ORP: -215.80
DO: 3.59,RTD: 25.68,EC: 6652.00,PH: 6.93,ORP: -215.80
DO: 3.59,RTD: 25.69,EC: 6646.00,PH: 6.93,ORP: -215.80
DO: 3.35,RTD: 25.69,EC: 6645.00,PH: 6.93,ORP: -215.90
DO: 3.59,RTD: 25.69,EC: 6646.00,PH: 6.93,ORP: -216.00
DO: 3.59,RTD: 25.70,EC: 6643.00,PH: 6.93,ORP: -215.70
DO: 3.35,RTD: 25.70,EC: 6643.00,PH: 6.92,ORP: -215.80
DO: 3.59,RTD: 25.70,EC: 6640.00,PH: 6.92,ORP: -215.80
DO: 3.35,RTD: 25.70,EC: 6638.00,PH: 6.92,ORP: -215.80
DO: 3.59,RTD: 25.70,EC: 6634.00,PH: 6.91,ORP: -215.80
