DO,RTD,EC,PH,ORP
DO: 2.40,RTD: 17.13,EC: 1993.00,PH: 7.05,ORP: -210.90
DO: 2.40,RTD: 17.15,EC: 1988.00,PH: 7.03,ORP: -210.90
DO: 2.63,RTD: 17.17,EC: 1985.00,PH: 7.01,ORP: -211.20
DO: 2.63,RTD: 17.19,EC: 1990.00,PH: 6.98,ORP: -211.30
DO: 2.63,RTD: 17.21,EC: 1973.00,PH: 6.97,ORP: -211.50
DO: 2.63,RTD: 17.22,EC: 1969.00,PH: 6.95,ORP: -211.70
DO: 2.87,RTD: 17.24,EC: 1966.00,PH: 6.94,ORP: -211.70
DO: 2.40,RTD: 17.25,EC: 1963.00,PH: 6.94,ORP: -212.00
DO: 2.63,RTD: 17.26,EC: 1960.00,PH: 6.93,ORP: -212.10
DO: 2.87,RTD: 17.27,EC: 1956.00,PH: 6.92,ORP: -212.40
DO: 2.63,RTD: 17.28,EC: 1951.00,PH: 6.91,ORP: -212.40
DO: 3.11,RTD: 17.29,EC: 1948.00,PH: 6.91,ORP: -212.40
DO: 2.63,RTD: 17.30,EC: 1945.00,PH: 6.90,ORP: -212.60
DO: 2.87,RTD: 17.31,EC: 1942.00,PH: 6.88,ORP: -212.70
DO: 2.87,RTD: 17.31,EC: 1938.00,PH: 6.87,ORP: -212.90
DO: 2.87,RTD: 17.32,EC: 1934.00,PH: 6.86,ORP: -213.00
DO: 3.11,RTD: 17.33,EC: 1930.00,PH: 6.86,ORP: -213.10
DO: 2.63,RTD: 17.34,EC: 1926.00,PH: 6.85,ORP: -213.30
DO: 2.87,RTD: 17.35,EC: 1922.00,PH: 6.84,ORP: -213.50
DO: 2.87,RTD: 17.36,EC: 1918.00,PH: 6.83,ORP: -213.70
DO: 2.63,RTD: 17.36,EC: 1916.00,PH: 6.82,ORP: -213.90
DO: 2.87,RTD: 17.37,EC: 1914.00,PH: 6.82,ORP: -213.90
DO: 2.87,RTD: 17.38,EC: 1913.00,PH: 6.80,ORP: -214.20
DO: 2.87,RTD: 17.38,EC: 1911.00,PH: 6.80,ORP: -214.30
DO: 2.87,RTD: 17.39,EC: 1910.00,PH: 6.79,ORP: -214.50
DO: 2.87,RTD: 17.40,EC: 1909.00,PH: 6.78,ORP: -214.60
DO: 2.63,RTD: 17.40,EC: 1908.00,PH: 6.78,ORP: -214.90
DO: 2.87,RTD: 17.41,EC: 1908.00,PH: 6.78,ORP: -214.80
DO: 3.11,RTD: 17.42,EC: 1908.00,PH: 6.78,ORP: -214.90
DO: 2.87,RTD: 17.42,EC: 1907.00,PH: 6.77,ORP: -215.20
DO: 2.87,RTD: 17.43,EC: 1906.00,PH: 6.76,ORP: -215.10
DO: 2.87,RTD: 17.44,EC: 1904.00,PH: 6.75,ORP: -215.30
DO: 2.63,RTD: 17.45,EC: 1903.00,PH: 6.74,ORP: -215.60
DO: 2.63,RTD: 17.45,EC: 1902.00,PH: 6.73,ORP: -215.60
DO: 2.63,RTD: 17.46,EC: 1901.00,PH: 6.72,ORP: -215.70
DO: 2.87,RTD: 17.47,EC: 1901.00,PH: 6.72,ORP: -215.90
DO: 2.87,RTD: 17.48,EC: 1901.00,PH: 6.71,ORP: -216.10
DO: 2.87,RTD: 17.48,EC: 1900.00,PH: 6.70,ORP: -216.20
DO: 3.11,RTD: 17.49,EC: 1900.00,PH: 6.70,ORP: -216.30
DO: 2.87,RTD: 17.50,EC: 1899.00,PH: 6.69,ORP: -216.40
DO: 2.87,RTD: 17.50,EC: 1899.00,PH: 6.69,ORP: -216.60
DO: 2.87,RTD: 17.51,EC: 1899.00,PH: 6.68,ORP: -216.80
DO: 2.87,RTD: 17.51,EC: 1898.00,PH: 6.67,ORP: -216.80
DO: 2.87,RTD: 17.52,EC: 1897.00,PH: 6.67,ORP: -216.90
DO: 2.87,RTD: 17.53,EC: 1897.00,PH: 6.66,ORP: -217.10
DO: 2.87,RTD: 17.53,EC: 1897.00,PH: 6.66,ORP: -217.20
DO: 2.87,RTD: 17.54,EC: 1897.00,PH: 6.66,ORP: -217.30
DO: 2.87,RTD: 17.54,EC: 1896.00,PH: 6.65,ORP: -217.50
DO: 3.11,RTD: 17.55,EC: 1896.00,PH: 6.65,ORP: -217.70
DO: 3.11,RTD: 17.55,EC: 1895.00,PH: 6.64,ORP: -217.70
DO: 3.11,RTD: 17.56,EC: 1895.00,PH: 6.64,ORP: -218.00
DO: 3.35,RTD: 17.56,EC: 1895.00,PH: 6.63,ORP: -218.00
DO: 2.87,RTD: 17.57,EC: 1894.00,PH: 6.63,ORP: -218.20
DO: 3.59,RTD: 17.57,EC: 1894.00,PH: 6.63,ORP: -218.30
DO: 3.35,RTD: 17.58,EC: 1894.00,PH: 6.62,ORP: -218.50
DO: 2.87,RTD: 17.58,EC: 1894.00,PH: 6.62,ORP: -218.50
DO: 2.87,RTD: 17.59,EC: 1894.00,PH: 6.61,ORP: -218.60
DO: 3.35,RTD: 17.59,EC: 1894.00,PH: 6.61,ORP: -218.80
DO: 3.11,RTD: 17.60,EC: 1894.00,PH: 6.60,ORP: -219.00
DO: 3.11,RTD: 17.60,EC: 1893.00,PH: 6.60,ORP: -219.00
DO: 3.11,RTD: 17.61,EC: 1893.00,PH: 6.60,ORP: -219.10
DO: 3.59,RTD: 17.61,EC: 1893.00,PH: 6.59,ORP: -219.30
DO: 3.11,RTD: 17.62,EC: 1893.00,PH: 6.59,ORP: -219.30
DO: 3.11,RTD: 17.62,EC: 1893.00,PH: 6.59,ORP: -219.50
DO: 3.11,RTD: 17.62,EC: 1892.00,PH: 6.59,ORP: -219.50
DO: 3.11,RTD: 17.63,EC: 1892.00,PH: 6.59,ORP: -219.70
DO: 3.11,RTD: 17.63,EC: 1892.00,PH: 6.59,ORP: -219.90
DO: 3.11,RTD: 17.64,EC: 1892.00,PH: 6.59,ORP: -220.00
DO: 3.35,RTD: 17.64,EC: 1893.00,PH: 6.60,ORP: -220.10
DO: 3.35,RTD: 17.64,EC: 1894.00,PH: 6.58,ORP: -220.10
DO: 3.35,RTD: 17.65,EC: 1893.00,PH: 6.58,ORP: -220.20
DO: 3.35,RTD: 17.65,EC: 1894.00,PH: 6.57,ORP: -220.20
DO: 3.11,RTD: 17.65,EC: 1893.00,PH: 6.57,ORP: -220.40
DO: 3.35,RTD: 17.66,EC: 1894.00,PH: 6.57,ORP: -220.40
DO: 3.11,RTD: 17.66,EC: 1894.00,PH: 6.56,ORP: -220.60
DO: 3.11,RTD: 17.67,EC: 1894.00,PH: 6.56,ORP: -220.60
DO: 3.11,RTD: 17.67,EC: 1894.00,PH: 6.56,ORP: -220.70
DO: 2.87,RTD: 17.68,EC: 1894.00,PH: 6.56,ORP: -220.80
DO: 3.11,RTD: 17.68,EC: 1894.00,PH: 6.56,ORP: -220.90
DO: 3.11,RTD: 17.68,EC: 1894.00,PH: 6.55,ORP: -221.10
DO: 3.11,RTD: 17.69,EC: 1894.00,PH: 6.55,ORP: -221.20
DO: 3.11,RTD: 17.69,EC: 1894.00,PH: 6.55,ORP: -221.20
DO: 3.11,RTD: 17.69,EC: 1894.00,PH: 6.54,ORP: -221.40
DO: 2.63,RTD: 17.70,EC: 1894.00,PH: 6.54,ORP: -221.50
DO: 3.11,RTD: 17.70,EC: 1893.00,PH: 6.54,ORP: -221.60
DO: 3.11,RTD: 17.70,EC: 1894.00,PH: 6.56,ORP: -221.60
DO: 3.11,RTD: 17.71,EC: 1894.00,PH: 6.57,ORP: -221.70
DO: 3.11,RTD: 17.71,EC: 1894.00,PH: 6.56,ORP: -221.90
DO: 3.35,RTD: 17.71,EC: 1894.00,PH: 6.56,ORP: -222.10
DO: 3.35,RTD: 17.72,EC: 1894.00,PH: 6.55,ORP: -222.20
DO: 3.35,RTD: 17.72,EC: 1894.00,PH: 6.55,ORP: -222.20
DO: 3.11,RTD: 17.73,EC: 1893.00,PH: 6.54,ORP: -222.40
DO: 3.11,RTD: 17.73,EC: 1893.00,PH: 6.53,ORP: -222.40
DO: 3.11,RTD: 17.73,EC: 1893.00,PH: 6.53,ORP: -222.60
DO: 3.11,RTD: 17.74,EC: 1893.00,PH: 6.53,ORP: -222.70
DO: 2.87,RTD: 17.74,EC: 1893.00,PH: 6.54,ORP: -222.70
DO: 3.11,RTD: 17.74,EC: 1893.00,PH: 6.53,ORP: -222.80
DO: 3.11,RTD: 17.75,EC: 1893.00,PH: 6.52,ORP: -222.90
DO: 3.11,RTD: 17.75,EC: 1893.00,PH: 6.52,ORP: -223.00
DO: 3.11,RTD: 17.75,EC: 1892.00,PH: 6.52,ORP: -223.20
DO: 3.11,RTD: 17.76,EC: 1892.00,PH: 6.52,ORP: -223.20
DO: 3.11,RTD: 17.76,EC: 1892.00,PH: 6.53,ORP: -223.30
