DO,RTD,EC,PH,ORP
DO: 2.87,RTD: 19.07,EC: 3080.00,PH: 6.77,ORP: -250.50
DO: 2.87,RTD: 19.08,EC: 3081.00,PH: 6.75,ORP: -250.50
DO: 2.87,RTD: 19.09,EC: 3082.00,PH: 6.74,ORP: -250.50
DO: 2.87,RTD: 19.10,EC: 3082.00,PH: 6.74,ORP: -250.50
DO: 2.87,RTD: 19.11,EC: 3081.00,PH: 6.73,ORP: -250.60
DO: 3.11,RTD: 19.15,EC: 3084.00,PH: 6.71,ORP: -250.70
DO: 3.11,RTD: 19.16,EC: 3084.00,PH: 6.71,ORP: -250.60
DO: 3.11,RTD: 19.17,EC: 3085.00,PH: 6.70,ORP: -250.50
DO: 3.35,RTD: 19.18,EC: 3086.00,PH: 6.68,ORP: -250.20
DO: 3.11,RTD: 19.19,EC: 3069.00,PH: 6.68,ORP: -250.30
DO: 3.11,RTD: 19.21,EC: 3090.00,PH: 6.67,ORP: -250.40
DO: 2.87,RTD: 19.22,EC: 3100.00,PH: 6.68,ORP: -250.40
DO: 3.11,RTD: 19.21,EC: 3101.00,PH: 6.66,ORP: -250.40
DO: 3.11,RTD: 19.20,EC: 3104.00,PH: 6.66,ORP: -250.50
DO: 2.87,RTD: 19.19,EC: 3107.00,PH: 6.68,ORP: -250.50
DO: 3.11,RTD: 19.17,EC: 3108.00,PH: 6.68,ORP: -250.70
DO: 3.11,RTD: 19.15,EC: 3108.00,PH: 6.68,ORP: -250.70
DO: 2.87,RTD: 19.14,EC: 3109.00,PH: 6.68,ORP: -250.70
DO: 2.87,RTD: 19.13,EC: 3109.00,PH: 6.68,ORP: -250.70
DO: 3.11,RTD: 19.12,EC: 3109.00,PH: 6.68,ORP: -250.70
DO: 2.87,RTD: 19.12,EC: 3111.00,PH: 6.67,ORP: -250.80
DO: 2.63,RTD: 19.11,EC: 3111.00,PH: 6.66,ORP: -250.90
DO: 2.87,RTD: 19.11,EC: 3108.00,PH: 6.66,ORP: -250.80
DO: 2.87,RTD: 19.11,EC: 3109.00,PH: 6.65,ORP: -250.90
DO: 2.87,RTD: 19.11,EC: 3110.00,PH: 6.65,ORP: -250.80
DO: 2.87,RTD: 19.11,EC: 3110.00,PH: 6.65,ORP: -250.80
DO: 2.87,RTD: 19.12,EC: 3110.00,PH: 6.64,ORP: -250.80
DO: 3.11,RTD: 19.12,EC: 3110.00,PH: 6.64,ORP: -250.80
DO: 2.87,RTD: 19.13,EC: 3110.00,PH: 6.63,ORP: -250.90
DO: 3.11,RTD: 19.13,EC: 3111.00,PH: 6.63,ORP: -250.90
DO: 3.11,RTD: 19.14,EC: 3111.00,PH: 6.63,ORP: -250.90
DO: 3.11,RTD: 19.14,EC: 3111.00,PH: 6.63,ORP: -251.00
DO: 3.11,RTD: 19.15,EC: 3112.00,PH: 6.62,ORP: -251.00
DO: 3.11,RTD: 19.16,EC: 3112.00,PH: 6.62,ORP: -251.00
DO: 3.35,RTD: 19.16,EC: 3112.00,PH: 6.62,ORP: -251.00
DO: 3.35,RTD: 19.17,EC: 3112.00,PH: 6.61,ORP: -250.90
DO: 3.11,RTD: 19.18,EC: 3112.00,PH: 6.61,ORP: -250.90
DO: 3.35,RTD: 19.18,EC: 3113.00,PH: 6.61,ORP: -251.00
DO: 3.35,RTD: 19.19,EC: 3113.00,PH: 6.61,ORP: -250.90
DO: 3.11,RTD: 19.19,EC: 3113.00,PH: 6.61,ORP: -251.10
DO: 3.35,RTD: 19.20,EC: 3114.00,PH: 6.60,ORP: -251.10
DO: 3.11,RTD: 19.20,EC: 3114.00,PH: 6.60,ORP: -251.20
DO: 3.11,RTD: 19.21,EC: 3114.00,PH: 6.58,ORP: -251.00
DO: 3.11,RTD: 19.21,EC: 3114.00,PH: 6.58,ORP: -251.00
DO: 3.11,RTD: 19.22,EC: 3115.00,PH: 6.57,ORP: -251.00
DO: 3.11,RTD: 19.22,EC: 3115.00,PH: 6.58,ORP: -251.00
DO: 3.11,RTD: 19.22,EC: 3115.00,PH: 6.57,ORP: -251.20
DO: 3.11,RTD: 19.23,EC: 3115.00,PH: 6.57,ORP: -251.10
DO: 3.11,RTD: 19.23,EC: 3116.00,PH: 6.57,ORP: -251.10
DO: 3.35,RTD: 19.23,EC: 3115.00,PH: 6.57,ORP: -251.20
DO: 3.11,RTD: 19.24,EC: 3115.00,PH: 6.57,ORP: -251.10
DO: 3.11,RTD: 19.24,EC: 3116.00,PH: 6.56,ORP: -251.20
DO: 3.11,RTD: 19.25,EC: 3116.00,PH: 6.56,ORP: -251.30
DO: 3.11,RTD: 19.25,EC: 3116.00,PH: 6.55,ORP: -251.20
DO: 3.11,RTD: 19.26,EC: 3116.00,PH: 6.55,ORP: -251.20
DO: 3.11,RTD: 19.26,EC: 3116.00,PH: 6.55,ORP: -251.40
DO: 3.35,RTD: 19.26,EC: 3117.00,PH: 6.55,ORP: -251.30
DO: 3.35,RTD: 19.27,EC: 3117.00,PH: 6.54,ORP: -251.30
DO: 3.35,RTD: 19.27,EC: 3117.00,PH: 6.54,ORP: -251.40
DO: 3.35,RTD: 19.27,EC: 3116.00,PH: 6.54,ORP: -251.30
DO: 3.35,RTD: 19.28,EC: 3117.00,PH: 6.54,ORP: -251.40
