DO,RTD,EC,PH,ORP
DO: 3.35,RTD: 22.87,EC: 389.00,PH: 4.53,ORP: -183.70
DO: 3.35,RTD: 22.89,EC: 389.00,PH: 4.64,ORP: -183.60
DO: 3.59,RTD: 23.11,EC: 389.60,PH: 4.50,ORP: -183.70
DO: 3.59,RTD: 23.12,EC: 390.30,PH: 4.52,ORP: -182.20
DO: 3.59,RTD: 23.14,EC: 390.20,PH: 4.09,ORP: -130.80
DO: 3.59,RTD: 23.30,EC: 390.50,PH: 4.53,ORP: -102.10
DO: 3.59,RTD: 23.32,EC: 390.10,PH: 4.41,ORP: -84.80
DO: 3.59,RTD: 23.50,EC: 390.30,PH: 4.36,ORP: -122.70
DO: 3.59,RTD: 23.69,EC: 390.20,PH: 4.51,ORP: -121.90
DO: 3.59,RTD: 23.84,EC: 390.20,PH: 4.49,ORP: -90.90
DO: 3.35,RTD: 24.04,EC: 390.50,PH: 4.48,ORP: -153.40
DO: 3.59,RTD: 24.05,EC: 389.60,PH: 4.42,ORP: -169.00
DO: 3.83,RTD: 24.07,EC: 389.40,PH: 4.54,ORP: -174.80
DO: 3.35,RTD: 24.09,EC: 389.20,PH: 4.44,ORP: -178.70
DO: 3.35,RTD: 24.11,EC: 388.70,PH: 4.45,ORP: -180.50
DO: 3.59,RTD: 24.12,EC: 388.60,PH: 4.45,ORP: -182.30
DO: 3.35,RTD: 24.13,EC: 388.60,PH: 4.45,ORP: -183.00
DO: 3.35,RTD: 24.14,EC: 389.90,PH: 4.46,ORP: -183.70
DO: 3.59,RTD: 24.14,EC: 389.90,PH: 4.45,ORP: -184.00
DO: 3.59,RTD: 24.14,EC: 390.30,PH: 4.46,ORP: -184.60
DO: 3.59,RTD: 24.14,EC: 390.00,PH: 4.46,ORP: -184.90
DO: 3.59,RTD: 24.14,EC: 390.10,PH: 4.45,ORP: -185.20
DO: 3.59,RTD: 24.13,EC: 390.60,PH: 4.46,ORP: -185.50
DO: 3.59,RTD: 24.13,EC: 390.50,PH: 4.46,ORP: -185.90
DO: 3.83,RTD: 24.12,EC: 391.40,PH: 4.46,ORP: -186.00
