DO,RTD,EC,PH,ORP
DO: 3.35,RTD: 22.87,EC: 389.00,PH: 4.53,ORP: -183.70
DO: 3.35,RTD: 22.89,EC: 389.00,PH: 4.64,ORP: -183.60
DO: 3.59,RTD: 23.11,EC: 389.60,PH: 4.50,ORP: -183.70
DO: 3.59,RTD: 23.12,EC: 390.30,PH: 4.52,ORP: -182.20
DO: 3.59,RTD: 23.14,EC: 390.20,PH: 4.09,ORP: -130.80
DO: 3.59,RTD: 23.30,EC: 390.50,PH: 4.53,ORP: -102.10
DO: 3.59,RTD: 23.32,EC: 390.10,PH: 4.41,ORP: -84.80
DO: 3.59,RTD: 23.50,EC: 390.30,PH: 4.36,ORP: -122.70
DO: 3.59,RTD: 23.69,EC: 390.20,PH: 4.51,ORP: -121.90
DO: 3.59,RTD: 23.84,EC: 390.20,PH: 4.49,ORP: -90.90
DO: 3.35,RTD: 24.04,EC: 390.50,PH: 4.48,ORP: -153.40
DO: 3.59,RTD: 24.05,EC: 389.60,PH: 4.42,ORP: -169.00
DO: 3.83,RTD: 24.07,EC: 389.40,PH: 4.54,ORP: -174.80
DO: 3.35,RTD: 24.09,EC: 389.20,PH: 4.44,ORP: -178.70
DO: 3.35,RTD: 24.11,EC: 388.70,PH: 4.45,ORP: -180.50
DO: 3.59,RTD: 24.12,EC: 388.60,PH: 4.45,ORP: -182.30
DO: 3.35,RTD: 24.13,EC: 388.60,PH: 4.45,ORP: -183.00
DO: 3.35,RTD: 24.14,EC: 389.90,PH: 4.46,ORP: -183.70
DO: 3.59,RTD: 24.14,EC: 389.90,PH: 4.45,ORP: -184.00
DO: 3.59,RTD: 24.14,EC: 390.30,PH: 4.46,ORP: -184.60
DO: 3.59,RTD: 24.14,EC: 390.00,PH: 4.46,ORP: -184.90
DO: 3.59,RTD: 24.14,EC: 390.10,PH: 4.45,ORP: -185.20
DO: 3.59,RTD: 24.13,EC: 390.60,PH: 4.46,ORP: -185.50
DO: 3.59,RTD: 24.13,EC: 390.50,PH: 4.46,ORP: -185.90
DO: 3.83,RTD: 24.12,EC: 391.40,PH: 4.46,ORP: -186.00
DO: 3.35,RTD: 23.14,EC: 381.90,PH: 4.61,ORP: -152.90
DO: 2.63,RTD: 23.38,EC: 381.50,PH: 4.56,ORP: -152.80
DO: 2.40,RTD: 23.37,EC: 380.50,PH: 4.53,ORP: -152.90
DO: 2.63,RTD: 23.50,EC: 379.50,PH: 4.52,ORP: -153.00
DO: 2.63,RTD: 23.58,EC: 378.90,PH: 4.51,ORP: -153.30
DO: 3.11,RTD: 23.05,EC: 411.90,PH: 4.56,ORP: -153.00
DO: 2.87,RTD: 23.08,EC: 412.30,PH: 4.54,ORP: -153.20
DO: 2.87,RTD: 23.26,EC: 413.50,PH: 4.51,ORP: -153.40
DO: 3.11,RTD: 23.29,EC: 413.30,PH: 4.51,ORP: -153.30
DO: 3.11,RTD: 23.31,EC: 413.40,PH: 4.51,ORP: -153.60
DO: 3.11,RTD: 23.33,EC: 413.40,PH: 4.50,ORP: -153.70
DO: 2.63,RTD: 23.35,EC: 413.60,PH: 4.49,ORP: -153.70
DO: 2.87,RTD: 23.38,EC: 413.60,PH: 4.50,ORP: -153.80
DO: 3.11,RTD: 23.39,EC: 414.00,PH: 4.50,ORP: -153.90
DO: 2.87,RTD: 23.41,EC: 414.30,PH: 4.49,ORP: -154.20
DO: 2.87,RTD: 23.43,EC: 414.30,PH: 4.49,ORP: -154.10
DO: 3.35,RTD: 23.45,EC: 414.10,PH: 4.48,ORP: -154.20
DO: 2.87,RTD: 23.46,EC: 414.40,PH: 4.49,ORP: -154.30
DO: 2.63,RTD: 23.48,EC: 414.50,PH: 4.48,ORP: -154.30
DO: 2.87,RTD: 23.49,EC: 414.40,PH: 4.48,ORP: -154.50
DO: 2.87,RTD: 23.51,EC: 404.00,PH: 4.44,ORP: -154.70
DO: 3.35,RTD: 23.52,EC: 404.60,PH: 4.46,ORP: -154.70
DO: 2.87,RTD: 23.54,EC: 404.80,PH: 4.46,ORP: -154.80
DO: 3.11,RTD: 23.56,EC: 404.90,PH: 4.46,ORP: -154.70
DO: 3.11,RTD: 23.58,EC: 404.90,PH: 4.46,ORP: -154.90
DO: 3.11,RTD: 23.59,EC: 404.90,PH: 4.45,ORP: -154.90
DO: 3.11,RTD: 23.60,EC: 405.20,PH: 4.46,ORP: -155.00
DO: 3.11,RTD: 23.61,EC: 405.60,PH: 4.46,ORP: -155.10
DO: 2.63,RTD: 23.62,EC: 414.80,PH: 4.45,ORP: -155.20
DO: 2.87,RTD: 23.63,EC: 414.50,PH: 4.45,ORP: -155.20
DO: 2.87,RTD: 23.64,EC: 414.60,PH: 4.44,ORP: -155.30
DO: 2.87,RTD: 23.64,EC: 415.00,PH: 4.44,ORP: -155.40
DO: 2.63,RTD: 23.65,EC: 414.90,PH: 4.44,ORP: -155.50
DO: 3.11,RTD: 23.66,EC: 414.70,PH: 4.44,ORP: -155.50
DO: 2.87,RTD: 23.66,EC: 414.50,PH: 4.44,ORP: -155.60
DO: 2.87,RTD: 23.67,EC: 415.00,PH: 4.44,ORP: -155.60
DO: 2.87,RTD: 23.67,EC: 414.90,PH: 4.44,ORP: -155.70
DO: 2.87,RTD: 23.68,EC: 414.80,PH: 4.43,ORP: -155.80
DO: 2.87,RTD: 23.68,EC: 414.60,PH: 4.43,ORP: -155.80
DO: 2.87,RTD: 23.69,EC: 414.00,PH: 4.43,ORP: -156.00
DO: 3.11,RTD: 23.69,EC: 413.30,PH: 4.43,ORP: -155.90
DO: 2.87,RTD: 23.70,EC: 413.20,PH: 4.43,ORP: -156.20
DO: 2.63,RTD: 23.70,EC: 413.00,PH: 4.42,ORP: -156.20
DO: 2.87,RTD: 23.70,EC: 412.90,PH: 4.42,ORP: -156.30
DO: 3.11,RTD: 23.71,EC: 412.70,PH: 4.42,ORP: -156.30
DO: 3.11,RTD: 23.71,EC: 412.50,PH: 4.42,ORP: -156.30
DO: 3.35,RTD: 23.72,EC: 412.70,PH: 4.41,ORP: -156.40
DO: 2.87,RTD: 23.72,EC: 412.80,PH: 4.41,ORP: -156.40
DO: 2.87,RTD: 23.72,EC: 412.70,PH: 4.41,ORP: -156.60
DO: 3.11,RTD: 23.72,EC: 413.30,PH: 4.41,ORP: -156.60
DO: 2.87,RTD: 23.72,EC: 413.50,PH: 4.41,ORP: -156.70
DO: 2.87,RTD: 23.73,EC: 413.40,PH: 4.41,ORP: -156.60
DO: 3.35,RTD: 23.73,EC: 413.50,PH: 4.42,ORP: -156.80
DO: 3.35,RTD: 23.73,EC: 413.50,PH: 4.41,ORP: -156.80
DO: 3.11,RTD: 23.73,EC: 413.40,PH: 4.41,ORP: -156.80
DO: 3.11,RTD: 23.73,EC: 413.60,PH: 4.41,ORP: -156.80
DO: 3.11,RTD: 23.74,EC: 413.50,PH: 4.41,ORP: -157.00
DO: 3.35,RTD: 23.74,EC: 413.20,PH: 4.41,ORP: -157.00
DO: 3.35,RTD: 23.74,EC: 413.40,PH: 4.40,ORP: -157.10
DO: 3.11,RTD: 23.74,EC: 413.40,PH: 4.40,ORP: -157.20
DO: 3.11,RTD: 23.74,EC: 413.10,PH: 4.40,ORP: -157.20
DO: 3.11,RTD: 23.74,EC: 413.20,PH: 4.40,ORP: -157.30
DO: 3.35,RTD: 23.74,EC: 413.20,PH: 4.40,ORP: -157.30
DO: 3.11,RTD: 23.74,EC: 413.10,PH: 4.40,ORP: -157.40
DO: 3.35,RTD: 23.74,EC: 413.00,PH: 4.40,ORP: -157.30
DO: 3.35,RTD: 23.75,EC: 413.10,PH: 4.40,ORP: -157.40
DO: 3.11,RTD: 23.75,EC: 412.90,PH: 4.39,ORP: -157.60
DO: 3.11,RTD: 23.75,EC: 413.10,PH: 4.39,ORP: -157.60
DO: 3.11,RTD: 23.75,EC: 413.10,PH: 4.39,ORP: -157.50
DO: 3.59,RTD: 23.75,EC: 411.70,PH: 4.37,ORP: -157.40
DO: 3.59,RTD: 23.75,EC: 411.90,PH: 4.38,ORP: -157.50
DO: 3.35,RTD: 23.75,EC: 411.90,PH: 4.39,ORP: -157.50
DO: 3.35,RTD: 23.75,EC: 411.70,PH: 4.39,ORP: -157.40
DO: 3.35,RTD: 23.75,EC: 411.80,PH: 4.39,ORP: -157.40
DO: 3.11,RTD: 23.75,EC: 411.70,PH: 4.39,ORP: -157.50
DO: 3.35,RTD: 23.75,EC: 411.90,PH: 4.39,ORP: -157.60
DO: 3.35,RTD: 23.76,EC: 411.60,PH: 4.39,ORP: -157.70
DO: 3.11,RTD: 23.76,EC: 412.00,PH: 4.38,ORP: -157.70
DO: 3.35,RTD: 23.76,EC: 412.20,PH: 4.38,ORP: -157.70
DO: 3.35,RTD: 23.76,EC: 412.20,PH: 4.39,ORP: -157.70
DO: 3.11,RTD: 23.76,EC: 412.20,PH: 4.38,ORP: -157.80
DO: 3.59,RTD: 23.76,EC: 412.50,PH: 4.38,ORP: -157.80
DO: 3.35,RTD: 23.76,EC: 412.10,PH: 4.38,ORP: -157.80
DO: 3.83,RTD: 23.76,EC: 412.10,PH: 4.38,ORP: -158.00
DO: 3.35,RTD: 23.76,EC: 412.10,PH: 4.38,ORP: -157.90
DO: 3.35,RTD: 23.76,EC: 410.20,PH: 4.38,ORP: -158.00
