DO,RTD,EC,PH,ORP
DO: 3.35, RTD: 39.07, EC: 257.00, PH: 4.26, ORP: -134.00
DO: 3.11, RTD: 39.07, EC: 257.00, PH: 4.26, ORP: -133.80
DO: 3.35, RTD: 39.07, EC: 257.60, PH: 4.26, ORP: -133.90
DO: 3.35, RTD: 39.07, EC: 258.90, PH: 4.26, ORP: -133.80
DO: 3.11, RTD: 39.06, EC: 258.20, PH: 4.26, ORP: -133.90
DO: 3.11, RTD: 39.06, EC: 257.90, PH: 4.26, ORP: -133.80
DO: 2.87, RTD: 39.05, EC: 258.30, PH: 4.26, ORP: -133.80
DO: 3.11, RTD: 39.05, EC: 259.40, PH: 4.26, ORP: -133.90
DO: 3.11, RTD: 39.05, EC: 260.60, PH: 4.26, ORP: -133.90
DO: 3.11, RTD: 39.05, EC: 263.80, PH: 4.26, ORP: -133.70
DO: 3.11, RTD: 39.05, EC: 265.20, PH: 4.26, ORP: -133.80
DO: 3.11, RTD: 39.05, EC: 258.30, PH: 4.25, ORP: -133.80
DO: 2.87, RTD: 39.05, EC: 260.20, PH: 4.25, ORP: -134.00
DO: 3.11, RTD: 39.05, EC: 260.20, PH: 4.25, ORP: -133.90
DO: 2.87, RTD: 39.05, EC: 259.00, PH: 4.25, ORP: -133.80
DO: 2.87, RTD: 39.05, EC: 262.00, PH: 4.25, ORP: -133.90
DO: 2.87, RTD: 39.05, EC: 262.50, PH: 4.25, ORP: -133.90
DO: 2.87, RTD: 39.05, EC: 263.60, PH: 4.25, ORP: -133.80
DO: 3.11, RTD: 39.05, EC: 260.50, PH: 4.25, ORP: -133.80
DO: 3.11, RTD: 39.05, EC: 259.30, PH: 4.25, ORP: -133.90
DO: 3.11, RTD: 39.05, EC: 260.70, PH: 4.25, ORP: -133.90
DO: 2.87, RTD: 39.06, EC: 261.70, PH: 4.25, ORP: -133.80
DO: 3.35, RTD: 39.06, EC: 271.30, PH: 4.25, ORP: -133.80
DO: 3.11, RTD: 39.06, EC: 263.20, PH: 4.25, ORP: -133.90
DO: 3.11, RTD: 39.05, EC: 260.30, PH: 4.25, ORP: -133.80
DO: 3.11, RTD: 39.05, EC: 259.40, PH: 4.25, ORP: -133.80
