No,DO,RTD,EC,PH,ORP,
1,DO: 3.35, RTD: 39.07, EC: 257.00, PH: 4.26, ORP: -134.00, 
2,DO: 3.11, RTD: 39.07, EC: 257.00, PH: 4.26, ORP: -133.80, 
3,DO: 3.35, RTD: 39.07, EC: 257.60, PH: 4.26, ORP: -133.90, 
4,DO: 3.35, RTD: 39.07, EC: 258.90, PH: 4.26, ORP: -133.80, 
5,DO: 3.11, RTD: 39.06, EC: 258.20, PH: 4.26, ORP: -133.90, 
6,DO: 3.11, RTD: 39.06, EC: 257.90, PH: 4.26, ORP: -133.80, 
7,DO: 2.87, RTD: 39.05, EC: 258.30, PH: 4.26, ORP: -133.80, 
8,DO: 3.11, RTD: 39.05, EC: 259.40, PH: 4.26, ORP: -133.90, 
9,DO: 3.11, RTD: 39.05, EC: 260.60, PH: 4.26, ORP: -133.90, 
10,DO: 3.11, RTD: 39.05, EC: 263.80, PH: 4.26, ORP: -133.70, 
11,DO: 3.11, RTD: 39.05, EC: 265.20, PH: 4.26, ORP: -133.80, 
12,DO: 3.11, RTD: 39.05, EC: 258.30, PH: 4.25, ORP: -133.80, 
13,DO: 2.87, RTD: 39.05, EC: 260.20, PH: 4.25, ORP: -134.00, 
14,DO: 3.11, RTD: 39.05, EC: 260.20, PH: 4.25, ORP: -133.90, 
15,DO: 2.87, RTD: 39.05, EC: 259.00, PH: 4.25, ORP: -133.80, 
16,DO: 2.87, RTD: 39.05, EC: 262.00, PH: 4.25, ORP: -133.90, 
17,DO: 2.87, RTD: 39.05, EC: 262.50, PH: 4.25, ORP: -133.90, 
18,DO: 2.87, RTD: 39.05, EC: 263.60, PH: 4.25, ORP: -133.80, 
19,DO: 3.11, RTD: 39.05, EC: 260.50, PH: 4.25, ORP: -133.80, 
20,DO: 3.11, RTD: 39.05, EC: 259.30, PH: 4.25, ORP: -133.90, 
21,DO: 3.11, RTD: 39.05, EC: 260.70, PH: 4.25, ORP: -133.90, 
22,DO: 2.87, RTD: 39.06, EC: 261.70, PH: 4.25, ORP: -133.80, 
23,DO: 3.35, RTD: 39.06, EC: 271.30, PH: 4.25, ORP: -133.80, 
24,DO: 3.11, RTD: 39.06, EC: 263.20, PH: 4.25, ORP: -133.90, 
25,DO: 3.11, RTD: 39.05, EC: 260.30, PH: 4.25, ORP: -133.80, 
26,DO: 3.11, RTD: 39.05, EC: 259.40, PH: 4.25, ORP: -133.80, 
27,DO: 3.11, RTD: 39.04, EC: 259.80, PH: 4.24, ORP: -133.90, 
28,DO: 2.87, RTD: 39.02, EC: 259.50, PH: 4.24, ORP: -134.00, 
29,DO: 2.87, RTD: 39.01, EC: 258.90, PH: 4.25, ORP: -134.00, 
30,DO: 3.11, RTD: 38.99, EC: 259.30, PH: 4.25, ORP: -133.80, 
31,DO: 3.35, RTD: 38.98, EC: 263.00, PH: 4.25, ORP: -133.90, 
32,DO: 3.11, RTD: 38.97, EC: 258.80, PH: 4.24, ORP: -134.00, 
33,DO: 2.87, RTD: 38.96, EC: 259.40, PH: 4.24, ORP: -133.80, 
34,DO: 3.35, RTD: 38.96, EC: 259.10, PH: 4.24, ORP: -134.00, 
35,DO: 2.87, RTD: 39.14, EC: 259.60, PH: 4.24, ORP: -134.00, 
36,DO: 2.87, RTD: 39.01, EC: 260.20, PH: 4.24, ORP: -134.00, 
37,DO: 2.87, RTD: 39.00, EC: 261.70, PH: 4.24, ORP: -134.00, 
38,DO: 3.11, RTD: 39.00, EC: 260.20, PH: 4.24, ORP: -134.00, 
39,DO: 2.87, RTD: 38.99, EC: 260.20, PH: 4.24, ORP: -134.00, 
40,DO: 3.11, RTD: 38.99, EC: 260.00, PH: 4.24, ORP: -133.90, 
41,DO: 3.11, RTD: 38.98, EC: 260.10, PH: 4.24, ORP: -134.00, 
42,DO: 3.11, RTD: 38.97, EC: 259.90, PH: 4.24, ORP: -134.00, 
43,DO: 2.87, RTD: 38.97, EC: 265.00, PH: 4.24, ORP: -134.10, 
44,DO: 2.87, RTD: 38.98, EC: 267.10, PH: 4.24, ORP: -134.00, 
45,DO: 3.11, RTD: 38.98, EC: 264.10, PH: 4.24, ORP: -134.00, 
46,DO: 3.35, RTD: 38.99, EC: 263.60, PH: 4.24, ORP: -134.00, 
47,DO: 3.11, RTD: 38.99, EC: 264.40, PH: 4.24, ORP: -134.00, 
48,DO: 2.87, RTD: 38.99, EC: 266.30, PH: 4.24, ORP: -134.00, 
49,DO: 3.11, RTD: 38.99, EC: 264.70, PH: 4.24, ORP: -134.00, 
50,DO: 2.87, RTD: 38.99, EC: 261.60, PH: 4.24, ORP: -133.80, 
51,DO: 3.11, RTD: 38.99, EC: 260.80, PH: 4.24, ORP: -134.00, 
52,DO: 2.87, RTD: 38.99, EC: 260.60, PH: 4.24, ORP: -134.30, 
